"","EmployeeID","Age","Attrition","BusinessTravel","Department","DistanceFromHome","Education","EducationField","Gender","JobLevel","JobRole","MaritalStatus","MonthlyIncome","NumCompaniesWorked","PercentSalaryHike","StockOptionLevel","TotalWorkingYears","TrainingTimesLastYear","YearsAtCompany","YearsSinceLastPromotion","YearsWithCurrManager","vacations","work_regularity","workLoad","mean_attendance","JobInvolvement","PerformanceRating","EnvironmentSatisfaction","JobSatisfaction","WorkLifeBalance"
"12",12,36,"No","Travel_Rarely","Research & Development",28,1,"Life Sciences","Male",1,"Laboratory Technician","Married",33770,0,12,2,16,2,15,10,11,20,"irregular","normal",7.06875518672199,3,3,NA,4,3
"13",13,55,"No","Travel_Rarely","Research & Development",14,4,"Life Sciences","Female",1,"Sales Executive","Single",55380,0,17,0,37,2,36,4,13,32,"regular","severe_workload",9.3014847161572,3,3,4,1,3
"14",14,47,"Yes","Non-Travel","Research & Development",1,1,"Medical","Male",1,"Research Scientist","Married",57620,1,11,2,10,4,10,9,9,26,"regular","severe_workload",9.40034042553192,2,3,1,2,2
"15",15,28,"No","Travel_Rarely","Research & Development",1,3,"Life Sciences","Male",1,"Manufacturing Director","Married",25920,1,14,0,5,2,5,0,4,20,"chronic_irregular","normal",6.0898755186722,3,3,4,4,2
"16",16,37,"No","Travel_Rarely","Research & Development",1,3,"Life Sciences","Male",2,"Healthcare Representative","Married",53460,4,11,0,7,2,5,0,1,24,"chronic_irregular","normal",6.70506329113924,3,3,3,4,4
"17",17,21,"No","Travel_Rarely","Research & Development",3,2,"Life Sciences","Male",1,"Laboratory Technician","Single",42130,1,12,3,3,3,3,1,0,34,"chronic_irregular","normal",6.61942731277533,2,3,4,3,4
"18",18,37,"No","Non-Travel","Research & Development",1,3,"Medical","Male",2,"Sales Executive","Divorced",41270,2,13,1,15,2,5,0,2,15,"regular","severe_workload",11.014512195122,3,3,1,4,3
"19",19,35,"No","Travel_Rarely","Sales",7,4,"Life Sciences","Male",1,"Sales Representative","Divorced",24380,7,16,0,10,5,7,6,2,29,"irregular","normal",6.9601724137931,2,3,2,2,2
"20",20,38,"No","Travel_Rarely","Research & Development",8,3,"Life Sciences","Female",1,"Manager","Divorced",68700,1,11,1,8,5,8,7,7,30,"regular","severe_workload",9.29354978354978,3,3,1,1,3
"21",21,26,"No","Travel_Frequently","Research & Development",1,4,"Other","Male",2,"Laboratory Technician","Divorced",104470,1,18,0,6,3,6,1,4,29,"regular","normal",7.59081896551724,3,3,3,2,1
"22",22,50,"No","Travel_Rarely","Sales",8,4,"Life Sciences","Male",1,"Research Scientist","Divorced",96670,3,23,0,28,2,10,1,6,28,"chronic_irregular","normal",6.0087982832618,2,4,1,2,2
"23",23,53,"No","Travel_Rarely","Research & Development",11,4,"Life Sciences","Female",2,"Research Scientist","Married",21480,3,11,0,21,2,5,1,3,29,"regular","normal",8.40211206896552,3,3,3,3,2
"24",24,42,"No","Travel_Rarely","Research & Development",4,4,"Life Sciences","Male",1,"Manufacturing Director","Married",89260,1,14,0,NA,4,20,11,6,19,"chronic_irregular","normal",6.80731404958678,1,3,2,3,3
"25",25,29,"No","Travel_Frequently","Research & Development",16,4,"Medical","Male",1,"Laboratory Technician","Single",65130,1,11,1,10,2,10,0,9,30,"irregular","normal",7.09311688311688,3,3,2,4,2
"26",26,55,"No","Travel_Rarely","Research & Development",1,4,"Other","Female",1,"Research Scientist","Married",67990,3,11,0,12,2,10,0,8,20,"regular","severe_workload",9.36170124481328,3,3,2,4,3
"27",27,26,"No","Travel_Frequently","Research & Development",9,3,"Life Sciences","Female",1,"Manager","Married",162910,1,22,0,5,3,5,3,3,22,"regular","severe_workload",10.9771966527197,3,4,1,1,3
"28",28,37,"No","Travel_Rarely","Sales",5,1,"Marketing","Male",1,"Research Scientist","Single",27050,1,11,0,17,2,17,5,7,25,"regular","normal",7.60415254237288,3,3,4,4,3
"29",29,44,"Yes","Travel_Frequently","Research & Development",1,2,"Medical","Male",2,"Research Scientist","Divorced",103330,3,14,1,19,2,1,0,0,18,"regular","severe_workload",10.9775720164609,2,3,4,3,1
"30",30,38,"No","Travel_Rarely","Sales",2,3,"Marketing","Female",1,"Manager","Divorced",44480,9,12,0,10,3,2,1,2,31,"chronic_irregular","normal",6.8314347826087,2,3,4,4,3
"31",31,26,"Yes","Travel_Rarely","Research & Development",4,3,"Medical","Male",3,"Research Scientist","Divorced",68540,2,11,0,5,5,3,0,2,23,"regular","severe_workload",10.1092016806723,2,3,1,2,3
"32",32,28,"No","Travel_Rarely","Research & Development",7,3,"Other","Male",1,"Human Resources","Single",96370,1,13,0,5,6,5,0,2,19,"chronic_irregular","normal",6.70962809917355,2,3,4,4,3
"33",33,49,"No","Travel_Frequently","Research & Development",1,1,"Medical","Female",2,"Research Scientist","Single",35910,9,13,0,22,2,3,1,2,27,"regular","severe_workload",10.5182478632479,3,3,3,1,3
"34",34,36,"No","Travel_Rarely","Sales",5,3,"Technical Degree","Male",3,"Sales Executive","Single",54050,4,14,0,10,2,8,7,7,18,"chronic_irregular","normal",6.18283950617284,3,3,3,2,3
"35",35,31,"No","Travel_Frequently","Research & Development",9,4,"Medical","Male",1,"Sales Executive","Divorced",46840,1,16,1,2,4,2,2,2,21,"chronic_irregular","normal",6.58625,3,3,4,2,2
"36",36,26,"Yes","Travel_Rarely","Research & Development",8,3,"Medical","Male",2,"Manager","Single",157870,1,12,2,8,5,8,7,4,29,"regular","severe_workload",10.2721551724138,3,3,4,4,3
"37",37,37,"No","Travel_Frequently","Sales",9,1,"Marketing","Male",1,"Laboratory Technician","Married",15140,1,14,0,4,3,4,1,2,19,"regular","severe_workload",9.98314049586777,3,3,2,4,2
"38",38,42,"No","Travel_Frequently","Sales",2,2,"Marketing","Male",3,"Research Director","Married",29560,5,13,0,23,2,20,4,8,31,"chronic_irregular","normal",5.97930434782609,3,3,3,2,4
"39",39,18,"Yes","Travel_Rarely","Research & Development",1,4,"Life Sciences","Male",1,"Sales Executive","Single",23350,1,14,2,0,3,0,0,0,34,"chronic_irregular","normal",6.77603524229075,2,3,3,3,3
"40",40,35,"No","Travel_Rarely","Sales",20,2,"Life Sciences","Male",1,"Laboratory Technician","Married",51540,0,19,0,12,2,11,6,9,22,"regular","normal",7.69029288702929,2,3,3,2,2
"41",41,36,"No","Travel_Frequently","Research & Development",8,3,"Other","Female",3,"Sales Executive","Married",69620,4,12,2,4,2,1,0,0,17,"irregular","normal",7.20463114754098,2,3,3,NA,3
"42",42,51,"No","Travel_Rarely","Research & Development",2,3,"Life Sciences","Male",2,"Laboratory Technician","Divorced",56750,5,13,0,13,2,4,1,2,26,"regular","normal",7.59468085106383,2,3,4,2,3
"43",43,41,"No","Travel_Rarely","Research & Development",29,1,"Life Sciences","Male",1,"Laboratory Technician","Single",23790,1,12,0,22,6,22,0,4,19,"irregular","normal",6.95235537190083,3,3,4,2,3
"44",44,18,"No","Travel_Rarely","Sales",7,3,"Life Sciences","Male",1,"Research Scientist","Single",38120,1,15,0,0,3,0,0,0,21,"irregular","normal",7.00904166666667,3,3,4,3,3
"45",45,28,"No","Travel_Rarely","Research & Development",9,3,"Medical","Male",1,"Sales Representative","Single",46480,0,23,2,9,2,8,0,7,17,"irregular","normal",7.20127049180328,2,4,2,1,3
"46",46,31,"No","Travel_Rarely","Research & Development",8,1,"Technical Degree","Male",1,"Manufacturing Director","Married",29360,4,12,1,10,2,8,7,7,21,"irregular","normal",7.173125,3,3,2,4,2
"47",47,39,"No","Travel_Rarely","Sales",5,4,"Marketing","Female",2,"Human Resources","Divorced",21050,0,20,0,19,3,18,3,7,26,"regular","normal",7.63642553191489,3,4,3,4,2
"48",48,36,"No","Non-Travel","Research & Development",5,4,"Life Sciences","Male",1,"Sales Executive","Married",85780,7,21,0,11,4,9,0,8,24,"regular","normal",7.83278481012658,3,4,2,2,3
"49",49,32,"No","Travel_Rarely","Sales",2,3,"Marketing","Male",2,"Laboratory Technician","Married",27060,1,21,1,13,4,13,4,8,34,"irregular","normal",6.97458149779736,3,4,4,3,2
"50",50,38,"No","Travel_Rarely","Research & Development",5,2,"Life Sciences","Female",3,"Research Scientist","Married",63840,3,19,2,19,4,10,0,1,33,"irregular","normal",6.90679824561404,2,3,1,2,3
"51",51,58,"No","Non-Travel","Research & Development",2,3,"Life Sciences","Male",2,"Manufacturing Director","Divorced",39680,2,13,2,12,3,5,1,2,19,"regular","severe_workload",10.8956198347107,2,3,4,3,3
"52",52,31,"No","Travel_Rarely","Research & Development",20,1,"Technical Degree","Female",3,"Research Scientist","Married",99070,0,13,1,6,3,5,0,3,24,"regular","severe_workload",9.12548523206751,2,3,3,4,3
"53",53,31,"No","Travel_Rarely","Sales",7,4,"Marketing","Male",2,"Sales Executive","Married",132250,3,21,1,9,2,2,1,0,22,"chronic_irregular","normal",6.83142259414226,3,4,1,1,3
"54",54,45,"No","Travel_Frequently","Research & Development",3,1,"Medical","Female",1,"Sales Executive","Divorced",35400,1,13,0,24,6,24,9,11,25,"regular","normal",7.3160593220339,3,3,1,1,3
"55",55,31,"No","Travel_Rarely","Sales",16,4,"Marketing","Female",2,"Research Scientist","Divorced",28040,0,19,2,3,0,2,2,2,17,"regular","normal",8.61098360655738,3,3,3,4,1
"56",56,33,"No","Travel_Frequently","Research & Development",9,3,"Life Sciences","Male",4,"Research Director","Married",193920,6,12,1,12,3,10,8,8,24,"chronic_irregular","normal",6.78510548523207,3,3,4,2,3
"57",57,39,"No","Travel_Rarely","Sales",1,4,"Life Sciences","Male",1,"Sales Executive","Married",196650,1,22,1,21,6,21,11,10,16,"regular","severe_workload",10.9863673469388,3,4,3,1,3
"58",58,43,"No","Travel_Frequently","Research & Development",7,4,"Medical","Male",4,"Research Scientist","Single",24390,0,15,0,9,2,8,1,7,34,"regular","normal",7.68678414096916,3,3,3,4,3
"59",59,49,"No","Travel_Rarely","Research & Development",1,3,"Life Sciences","Male",3,"Manufacturing Director","Single",73140,7,22,0,25,2,7,0,7,18,"regular","severe_workload",9.94893004115226,3,4,3,3,3
"60",60,52,"Yes","Travel_Rarely","Research & Development",7,1,"Life Sciences","Female",2,"Research Scientist","Married",47740,2,18,1,11,2,8,7,7,22,"regular","normal",7.90543933054393,3,3,3,2,2
"61",61,27,"No","Travel_Rarely","Research & Development",15,4,"Medical","Male",3,"Research Scientist","Single",39020,1,22,0,4,2,4,1,2,17,"regular","severe_workload",10.6723360655738,3,4,3,2,2
"62",62,32,"No","Travel_Rarely","Research & Development",1,3,"Life Sciences","Male",3,"Research Scientist","Married",26620,1,11,1,13,6,13,11,9,22,"regular","severe_workload",10.4963179916318,4,3,3,2,3
"63",63,27,"No","Travel_Rarely","Research & Development",13,2,"Medical","Female",4,"Research Director","Single",28560,1,12,2,5,5,5,0,4,30,"regular","severe_workload",10.069696969697,4,3,4,3,3
"64",64,31,"No","Travel_Rarely","Sales",24,3,"Life Sciences","Male",2,"Healthcare Representative","Divorced",10810,4,11,3,13,4,7,1,7,18,"chronic_irregular","normal",6.60666666666667,4,3,4,4,3
"65",65,32,"No","Travel_Rarely","Research & Development",7,3,"Technical Degree","Male",2,"Healthcare Representative","Single",24720,7,13,0,10,2,7,0,7,24,"regular","normal",7.49763713080169,3,3,1,4,2
"66",66,28,"Yes","Travel_Rarely","Research & Development",9,4,"Medical","Male",1,"Sales Executive","Married",56730,5,14,1,5,4,3,2,2,14,"regular","severe_workload",10.7272874493927,2,3,1,4,2
"67",67,30,"No","Travel_Rarely","Research & Development",13,3,"Life Sciences","Female",4,"Research Director","Married",41970,1,13,0,11,3,10,1,9,29,"chronic_irregular","normal",6.185,3,3,4,4,3
"68",68,31,"No","Travel_Frequently","Research & Development",2,1,"Life Sciences","Female",1,"Manager","Married",97130,1,17,0,10,5,10,8,9,34,"chronic_irregular","normal",6.60925110132159,2,3,3,3,3
"69",69,39,"No","Travel_Frequently","Research & Development",19,4,"Medical","Female",1,"Research Scientist","Married",20620,1,13,0,21,4,21,13,3,33,"chronic_irregular","normal",6.07627192982456,3,3,3,4,3
"70",70,39,"Yes","Travel_Rarely","Research & Development",1,1,"Medical","Female",1,"Laboratory Technician","Married",42840,4,17,1,12,0,1,0,0,15,"regular","severe_workload",9.97178861788618,3,3,4,3,2
"71",71,33,"No","Travel_Frequently","Sales",4,2,"Life Sciences","Male",4,"Research Scientist","Single",47880,3,11,1,9,0,7,0,1,19,"regular","normal",7.42111570247934,3,3,2,4,2
"72",72,47,"No","Travel_Rarely","Research & Development",4,3,"Life Sciences","Female",2,"Healthcare Representative","Married",59060,4,23,0,21,4,3,1,1,18,"chronic_irregular","normal",6.49395061728395,4,4,4,3,3
"73",73,43,"No","Travel_Frequently","Research & Development",14,3,"Medical","Female",5,"Research Director","Divorced",38860,1,17,2,9,2,9,0,0,26,"chronic_irregular","normal",6.29957446808511,3,3,3,3,4
"74",74,27,"No","Non-Travel","Research & Development",2,3,"Life Sciences","Male",1,"Research Director","Married",168230,0,17,0,6,3,5,1,4,30,"regular","severe_workload",9.31688311688312,3,3,3,2,3
"75",75,54,"No","Travel_Frequently","Research & Development",1,4,"Life Sciences","Male",2,"Research Scientist","Single",29330,3,12,2,20,2,4,0,3,29,"chronic_irregular","normal",6.0975,3,3,4,3,2
"76",76,43,"No","Travel_Rarely","Research & Development",7,2,"Life Sciences","Female",2,"Manager","Married",65000,8,23,0,10,3,1,0,0,23,"irregular","normal",7.21697478991597,3,4,3,1,2
"77",77,45,"No","Travel_Rarely","Sales",3,1,"Marketing","Female",1,"Sales Executive","Married",171740,9,14,1,12,6,10,9,8,19,"irregular","normal",7.10020661157025,3,3,4,4,3
"78",78,40,"No","Travel_Rarely","Research & Development",2,4,"Other","Male",4,"Research Scientist","Married",50330,2,14,2,6,6,4,0,2,30,"regular","severe_workload",9.91411255411255,3,3,2,4,2
"79",79,29,"Yes","Travel_Rarely","Research & Development",29,3,"Medical","Female",1,"Research Scientist","Married",23070,1,13,1,7,0,7,0,7,31,"regular","severe_workload",10.4778695652174,3,3,2,1,2
"80",80,29,"No","Travel_Rarely","Human Resources",8,3,"Medical","Male",3,"Sales Representative","Single",25870,0,22,2,4,3,3,2,2,22,"irregular","normal",6.90707112970711,3,4,2,4,3
"81",81,30,"No","Travel_Rarely","Research & Development",10,3,"Life Sciences","Male",2,"Research Scientist","Divorced",55070,1,12,2,10,2,10,1,2,29,"regular","normal",7.58909482758621,2,3,4,3,3
"82",82,27,"No","Travel_Rarely","Research & Development",11,2,"Medical","Male",1,"Manager","Married",43930,1,18,1,8,2,8,0,7,17,"chronic_irregular","normal",6.07967213114754,2,3,2,2,3
"83",83,37,"No","Travel_Rarely","Sales",1,4,"Life Sciences","Male",2,"Healthcare Representative","Divorced",133480,7,14,0,8,4,6,0,4,25,"chronic_irregular","normal",6.00135593220339,3,3,4,4,2
"84",84,38,"No","Travel_Rarely","Research & Development",28,4,"Medical","Male",1,"Laboratory Technician","Divorced",65830,0,12,0,12,1,11,2,9,19,"regular","heavily_worked",8.98309917355372,3,3,3,4,3
"85",85,31,"No","Travel_Rarely","Research & Development",6,3,"Medical","Female",3,"Manager","Single",81030,1,15,1,11,5,11,4,10,23,"regular","severe_workload",10.426218487395,3,3,3,4,NA
"86",86,29,"No","Travel_Rarely","Research & Development",3,4,"Life Sciences","Male",3,"Sales Executive","Divorced",39780,1,11,0,7,0,7,1,7,17,"regular","normal",8.3877868852459,3,3,4,2,3
"87",87,35,"No","Travel_Rarely","Sales",16,2,"Technical Degree","Male",3,"Manager","Single",25440,0,13,1,17,3,16,0,13,28,"regular","normal",7.91188841201717,4,3,3,2,3
"88",88,23,"No","Travel_Rarely","Research & Development",20,4,"Life Sciences","Male",1,"Manufacturing Director","Divorced",53990,1,23,0,4,2,4,0,2,24,"irregular","normal",7.10552742616034,2,4,3,4,2
"89",89,41,"No","Travel_Rarely","Research & Development",9,2,"Life Sciences","Female",1,"Laboratory Technician","Single",54870,6,19,2,8,0,5,1,2,22,"regular","severe_workload",9.68882845188284,3,3,4,2,3
"90",90,47,"No","Travel_Frequently","Sales",1,3,"Medical","Female",2,"Laboratory Technician","Single",68340,3,16,1,5,2,0,0,0,22,"regular","normal",7.77054393305439,4,3,2,3,3
"91",91,42,"No","Travel_Rarely","Research & Development",3,4,"Life Sciences","Male",1,"Manager","Single",10910,2,22,0,16,0,1,0,0,24,"chronic_irregular","normal",6.28464135021097,1,4,1,4,3
"92",92,29,"No","Non-Travel","Sales",22,4,"Marketing","Male",2,"Human Resources","Married",57360,1,22,0,4,1,4,0,2,28,"chronic_irregular","normal",6.30605150214592,2,4,4,3,2
"93",93,42,"No","Travel_Rarely","Sales",7,4,"Medical","Male",3,"Research Scientist","Divorced",22260,0,12,1,4,3,3,1,0,33,"regular","heavily_worked",8.83131578947368,2,3,3,3,3
"94",94,32,"No","Travel_Rarely","Research & Development",2,3,"Medical","Male",2,"Research Scientist","Married",57470,1,13,0,8,0,8,0,7,30,"regular","normal",7.7221645021645,3,3,3,2,3
"95",95,48,"No","Travel_Rarely","Sales",13,4,"Medical","Male",4,"Sales Executive","Married",98540,3,16,1,15,2,0,0,0,28,"regular","normal",7.31755364806867,2,3,1,3,1
"96",96,37,"No","Travel_Rarely","Research & Development",8,5,"Technical Degree","Male",2,"Manufacturing Director","Divorced",54670,4,12,0,13,2,7,6,7,14,"regular","severe_workload",10.7982591093117,3,3,3,1,3
"97",97,30,"No","Non-Travel","Sales",25,4,"Other","Male",1,"Healthcare Representative","Married",53800,7,21,1,4,0,2,2,2,16,"regular","severe_workload",10.4017551020408,3,4,4,3,4
"98",98,26,"No","Travel_Rarely","Sales",28,3,"Medical","Female",5,"Laboratory Technician","Married",51510,1,15,3,8,3,8,7,7,18,"chronic_irregular","normal",5.99448559670782,3,3,3,3,3
"99",99,42,"No","Travel_Rarely","Sales",2,2,"Medical","Female",1,"Laboratory Technician","Single",21330,3,13,2,14,2,1,0,0,22,"chronic_irregular","normal",6.1134309623431,3,3,1,4,3
"100",100,21,"Yes","Travel_Frequently","Research & Development",9,3,"Medical","Female",4,"Manufacturing Director","Single",178750,1,12,0,3,5,3,1,2,17,"regular","normal",8.13356557377049,2,3,1,2,3
"101",101,36,"No","Non-Travel","Human Resources",28,3,"Human Resources","Male",2,"Laboratory Technician","Single",24320,4,22,0,7,4,1,0,0,29,"regular","normal",7.30603448275862,1,4,4,4,3
"102",102,36,"No","Travel_Frequently","Research & Development",6,3,"Life Sciences","Female",2,"Research Scientist","Married",47710,4,13,1,16,2,13,1,12,23,"irregular","normal",7.10504201680672,3,3,1,4,3
"103",103,57,"No","Travel_Rarely","Research & Development",21,4,"Life Sciences","Male",5,"Research Scientist","Married",191610,2,18,0,15,2,3,1,2,26,"chronic_irregular","normal",6.32765957446809,1,3,4,3,3
"104",104,40,"No","Travel_Rarely","Research & Development",8,3,"Other","Male",2,"Sales Executive","Married",50870,3,14,1,10,3,7,1,7,28,"regular","normal",8.12832618025751,3,3,4,3,3
"105",105,21,"No","Non-Travel","Research & Development",1,5,"Life Sciences","Female",2,"Manager","Single",28630,1,14,0,3,2,3,2,2,32,"regular","normal",7.98646288209607,1,3,1,4,2
"106",106,33,"Yes","Travel_Rarely","Human Resources",28,2,"Human Resources","Female",5,"Manager","Single",55610,1,21,1,1,3,1,0,0,30,"regular","severe_workload",10.5090476190476,1,4,4,3,3
"107",107,37,"No","Travel_Rarely","Research & Development",5,3,"Life Sciences","Male",4,"Research Scientist","Married",21440,6,19,0,17,3,5,0,3,30,"regular","normal",7.99320346320346,4,3,3,1,3
"108",108,46,"No","Non-Travel","Sales",2,4,"Marketing","Female",2,"Laboratory Technician","Married",30650,2,11,0,7,3,1,0,0,33,"chronic_irregular","normal",6.10342105263158,3,3,3,3,4
"109",109,41,"Yes","Travel_Frequently","Research & Development",16,1,"Medical","Female",1,"Research Scientist","Single",28100,1,11,0,8,3,8,7,7,28,"regular","normal",7.58793991416309,4,3,1,2,3
"110",110,50,"No","Travel_Rarely","Research & Development",9,3,"Medical","Female",3,"Laboratory Technician","Single",98880,6,15,0,20,2,4,1,3,31,"irregular","normal",6.89034782608696,3,3,4,4,3
"111",111,40,"Yes","Travel_Rarely","Research & Development",8,3,"Medical","Female",1,"Healthcare Representative","Married",86280,2,20,0,8,2,6,1,0,27,"regular","severe_workload",9.29606837606838,2,4,3,3,3
"112",112,31,"No","Travel_Rarely","Research & Development",1,3,"Life Sciences","Male",4,"Human Resources","Single",28670,0,24,0,3,5,2,2,2,15,"regular","severe_workload",10.8058943089431,3,4,NA,2,3
"113",113,21,"Yes","Travel_Rarely","Human Resources",10,2,"Human Resources","Male",1,"Laboratory Technician","Single",53730,1,12,1,1,2,1,0,0,31,"chronic_irregular","normal",5.99513043478261,3,3,3,2,3
"114",114,29,"No","Travel_Rarely","Research & Development",1,3,"Life Sciences","Female",2,"Research Director","Single",66670,9,12,1,6,6,3,1,2,16,"regular","normal",7.7885306122449,4,3,4,4,3
"115",115,35,"No","Travel_Rarely","Research & Development",29,3,"Life Sciences","Female",3,"Sales Executive","Single",50030,9,15,0,10,2,1,0,0,25,"regular","normal",7.71775423728814,3,3,3,2,3
"116",116,27,"No","Travel_Rarely","Sales",2,3,"Life Sciences","Male",1,"Sales Executive","Divorced",23670,NA,12,1,5,2,5,0,4,27,"chronic_irregular","normal",6.18952991452991,3,3,4,2,3
"117",117,28,"No","Travel_Rarely","Research & Development",2,2,"Medical","Male",3,"Manager","Single",28580,1,12,0,7,2,7,0,7,29,"irregular","normal",7.12090517241379,2,3,2,4,3
"118",118,49,"No","Travel_Rarely","Sales",2,3,"Technical Degree","Male",2,"Manufacturing Director","Single",52040,8,14,1,26,3,5,0,0,21,"regular","normal",7.82504166666667,3,3,2,3,3
"119",119,51,"No","Travel_Rarely","Research & Development",1,2,"Life Sciences","Male",1,"Sales Executive","Married",41050,4,22,1,18,2,7,0,7,33,"regular","normal",7.61929824561404,3,4,3,4,2
"120",120,36,"No","Travel_Rarely","Sales",15,2,"Life Sciences","Male",1,"Sales Executive","Married",96790,4,12,0,6,1,2,2,2,27,"chronic_irregular","normal",6.00230769230769,3,3,4,3,3
"121",121,34,"Yes","Non-Travel","Research & Development",7,3,"Life Sciences","Male",1,"Sales Representative","Single",56170,8,25,1,9,3,5,0,4,26,"regular","severe_workload",9.11306382978723,3,4,1,4,2
"122",122,55,"No","Travel_Rarely","Sales",26,3,"Marketing","Male",1,"Laboratory Technician","Single",104480,2,13,0,30,3,5,1,2,25,"regular","normal",8.68419491525424,3,3,3,4,3
"123",123,24,"No","Travel_Rarely","Research & Development",1,3,"Life Sciences","Female",5,"Manager","Divorced",28970,1,18,3,5,4,5,0,3,31,"regular","severe_workload",9.99278260869565,3,3,4,3,4
"124",124,30,"No","Travel_Rarely","Research & Development",3,3,"Life Sciences","Female",2,"Manager","Married",59680,1,13,0,1,3,1,0,0,30,"chronic_irregular","normal",6.90021645021645,3,3,3,2,3
"125",125,26,"Yes","Travel_Frequently","Sales",14,3,"Life Sciences","Male",2,"Manager","Single",75100,0,18,3,7,3,6,0,4,21,"irregular","normal",6.99925,3,3,3,NA,3
"126",126,22,"No","Travel_Rarely","Research & Development",16,5,"Other","Male",1,"Research Scientist","Married",29910,1,19,2,2,3,2,1,2,30,"chronic_irregular","normal",6.28623376623377,2,3,1,2,3
"127",127,36,"No","Travel_Rarely","Research & Development",1,3,"Medical","Female",5,"Healthcare Representative","Married",196360,1,12,1,10,3,10,9,0,25,"chronic_irregular","normal",6.36622881355932,3,3,2,3,3
"128",128,30,"Yes","Travel_Frequently","Sales",3,2,"Marketing","Male",3,"Research Scientist","Single",11290,9,19,0,3,2,1,0,0,21,"regular","normal",8.19175,2,3,3,4,3
"129",129,37,"No","Travel_Rarely","Research & Development",10,1,"Technical Degree","Male",1,"Sales Executive","Divorced",133410,1,14,1,18,3,18,12,17,21,"chronic_irregular","normal",6.45208333333333,3,3,4,1,2
"130",130,40,"No","Travel_Rarely","Research & Development",6,2,"Medical","Male",3,"Research Scientist","Divorced",43320,7,14,2,8,3,5,1,3,31,"chronic_irregular","normal",6.68295652173913,2,3,4,2,3
"131",131,42,"No","Travel_Rarely","Research & Development",2,3,"Medical","Female",4,"Manager","Divorced",110310,3,12,1,8,2,5,1,2,26,"regular","normal",7.48272340425532,2,3,2,1,3
"132",132,37,"No","Travel_Rarely","Sales",9,1,"Marketing","Male",3,"Sales Executive","Single",44400,2,11,1,18,3,1,0,1,16,"regular","severe_workload",9.91995918367347,2,3,3,2,2
"133",133,43,"No","Travel_Rarely","Sales",10,2,"Life Sciences","Female",1,"Sales Executive","Divorced",46170,1,11,0,25,2,25,3,9,26,"regular","normal",7.41553191489362,3,3,1,2,3
"134",134,40,"No","Travel_Rarely","Sales",6,2,"Life Sciences","Female",1,"Laboratory Technician","Married",26470,6,13,0,20,2,1,0,0,23,"regular","normal",7.49525210084034,2,3,2,3,3
"135",135,54,"No","Travel_Rarely","Human Resources",9,3,"Life Sciences","Female",2,"Manufacturing Director","Married",63230,4,23,1,24,2,4,1,2,34,"chronic_irregular","normal",5.99876651982379,2,4,1,1,2
