"","EmployeeID","Age","Attrition","BusinessTravel","Department","DistanceFromHome","Education","EducationField","Gender","JobLevel","JobRole","MaritalStatus","MonthlyIncome","NumCompaniesWorked","PercentSalaryHike","StockOptionLevel","TotalWorkingYears","TrainingTimesLastYear","YearsAtCompany","YearsSinceLastPromotion","YearsWithCurrManager","vacations","mean_attendance","work_regularity","workLoad","EnvironmentSatisfaction","JobSatisfaction","WorkLifeBalance","JobInvolvement","PerformanceRating"
"11","11",45,"0","Travel_Rarely","Research & Development",17,"2","Medical","Male","2","Laboratory Technician","Married",79910,1,13,"2",21,2,20,4,10,8,8.40352697095436,"0","1","3","4","3","2","3"
"13","13",55,"0","Travel_Rarely","Research & Development",14,"4","Life Sciences","Female","1","Sales Executive","Single",55380,1,17,"0",37,2,36,4,13,20,9.3014847161572,"0","2","4","1","3","3","3"
"14","14",47,"1","Non-Travel","Research & Development",1,"1","Medical","Male","1","Research Scientist","Married",57620,2,11,"2",10,4,10,9,9,14,9.40034042553192,"0","2","1","2","2","2","3"
"15","15",28,"0","Travel_Rarely","Research & Development",1,"3","Life Sciences","Male","1","Manufacturing Director","Married",25920,2,14,"0",5,2,5,0,4,8,6.0898755186722,"2","0","4","4","2","3","3"
"16","16",37,"0","Travel_Rarely","Research & Development",1,"3","Life Sciences","Male","2","Healthcare Representative","Married",53460,5,11,"0",7,2,5,0,1,12,6.70506329113924,"1","0","3","4","4","3","3"
"17","17",21,"0","Travel_Rarely","Research & Development",3,"2","Life Sciences","Male","1","Laboratory Technician","Single",42130,2,12,"3",3,3,3,1,0,22,6.61942731277533,"1","0","4","3","4","2","3"
"18","18",37,"0","Non-Travel","Research & Development",1,"3","Medical","Male","2","Sales Executive","Divorced",41270,3,13,"1",15,2,5,0,2,3,11.014512195122,"0","2","1","4","3","3","3"
"19","19",35,"0","Travel_Rarely","Sales",7,"4","Life Sciences","Male","1","Sales Representative","Divorced",24380,8,16,"0",10,5,7,6,2,17,6.9601724137931,"1","0","2","2","2","2","3"
"20","20",38,"0","Travel_Rarely","Research & Development",8,"3","Life Sciences","Female","1","Manager","Divorced",68700,2,11,"1",8,5,8,7,7,18,9.29354978354978,"0","2","1","1","3","3","3"
"21","21",26,"0","Travel_Frequently","Research & Development",1,"4","Other","Male","2","Laboratory Technician","Divorced",104470,2,18,"0",6,3,6,1,4,17,7.59081896551724,"0","0","3","2","1","3","3"
"22","22",50,"0","Travel_Rarely","Sales",8,"4","Life Sciences","Male","1","Research Scientist","Divorced",96670,4,23,"0",28,2,10,1,6,16,6.0087982832618,"2","0","1","2","2","2","4"
"23","23",53,"0","Travel_Rarely","Research & Development",11,"4","Life Sciences","Female","2","Research Scientist","Married",21480,4,11,"0",21,2,5,1,3,17,8.40211206896552,"0","1","3","3","2","3","3"
"24","24",42,"0","Travel_Rarely","Research & Development",4,"4","Life Sciences","Male","1","Manufacturing Director","Married",89260,2,14,"0",3,4,20,11,6,7,6.80731404958678,"1","0","2","3","3","1","3"
"25","25",29,"0","Travel_Frequently","Research & Development",16,"4","Medical","Male","1","Laboratory Technician","Single",65130,2,11,"1",10,2,10,0,9,18,7.09311688311688,"1","0","2","4","2","3","3"
"26","26",55,"0","Travel_Rarely","Research & Development",1,"4","Other","Female","1","Research Scientist","Married",67990,4,11,"0",12,2,10,0,8,8,9.36170124481328,"0","2","2","4","3","3","3"
"27","27",26,"0","Travel_Frequently","Research & Development",9,"3","Life Sciences","Female","1","Manager","Married",162910,2,22,"0",5,3,5,3,3,10,10.9771966527197,"0","2","1","1","3","3","4"
"28","28",37,"0","Travel_Rarely","Sales",5,"1","Marketing","Male","1","Research Scientist","Single",27050,2,11,"0",17,2,17,5,7,13,7.60415254237288,"0","0","4","4","3","3","3"
"29","29",44,"1","Travel_Frequently","Research & Development",1,"2","Medical","Male","2","Research Scientist","Divorced",103330,4,14,"1",19,2,1,0,0,6,10.9775720164609,"0","2","4","3","1","2","3"
"30","30",38,"0","Travel_Rarely","Sales",2,"3","Marketing","Female","1","Manager","Divorced",44480,10,12,"0",10,3,2,1,2,19,6.8314347826087,"1","0","4","4","3","2","3"
"31","31",26,"1","Travel_Rarely","Research & Development",4,"3","Medical","Male","3","Research Scientist","Divorced",68540,3,11,"0",5,5,3,0,2,11,10.1092016806723,"0","2","1","2","3","2","3"
"32","32",28,"0","Travel_Rarely","Research & Development",7,"3","Other","Male","1","Human Resources","Single",96370,2,13,"0",5,6,5,0,2,7,6.70962809917355,"2","0","4","4","3","2","3"
"33","33",49,"0","Travel_Frequently","Research & Development",1,"1","Medical","Female","2","Research Scientist","Single",35910,10,13,"0",22,2,3,1,2,15,10.5182478632479,"0","2","3","1","3","3","3"
"34","34",36,"0","Travel_Rarely","Sales",5,"3","Technical Degree","Male","3","Sales Executive","Single",54050,5,14,"0",10,2,8,7,7,6,6.18283950617284,"2","0","3","2","3","3","3"
"35","35",31,"0","Travel_Frequently","Research & Development",9,"4","Medical","Male","1","Sales Executive","Divorced",46840,2,16,"1",2,4,2,2,2,9,6.58625,"2","0","4","2","2","3","3"
"36","36",26,"1","Travel_Rarely","Research & Development",8,"3","Medical","Male","2","Manager","Single",157870,2,12,"2",8,5,8,7,4,17,10.2721551724138,"0","2","4","4","3","3","3"
"37","37",37,"0","Travel_Frequently","Sales",9,"1","Marketing","Male","1","Laboratory Technician","Married",15140,2,14,"0",4,3,4,1,2,7,9.98314049586777,"0","2","2","4","2","3","3"
"38","38",42,"0","Travel_Frequently","Sales",2,"2","Marketing","Male","3","Research Director","Married",29560,6,13,"0",23,2,20,4,8,19,5.97930434782609,"2","0","3","2","4","3","3"
"39","39",18,"1","Travel_Rarely","Research & Development",1,"4","Life Sciences","Male","1","Sales Executive","Single",23350,2,14,"2",0,3,0,0,0,22,6.77603524229075,"1","0","3","3","3","2","3"
"40","40",35,"0","Travel_Rarely","Sales",20,"2","Life Sciences","Male","1","Laboratory Technician","Married",51540,1,19,"0",12,2,11,6,9,10,7.69029288702929,"0","0","3","2","2","2","3"
"42","42",51,"0","Travel_Rarely","Research & Development",2,"3","Life Sciences","Male","2","Laboratory Technician","Divorced",56750,6,13,"0",13,2,4,1,2,14,7.59468085106383,"0","0","4","2","3","2","3"
"43","43",41,"0","Travel_Rarely","Research & Development",29,"1","Life Sciences","Male","1","Laboratory Technician","Single",23790,2,12,"0",22,6,22,0,4,7,6.95235537190083,"1","0","4","2","3","3","3"
"44","44",18,"0","Travel_Rarely","Sales",7,"3","Life Sciences","Male","1","Research Scientist","Single",38120,2,15,"0",0,3,0,0,0,9,7.00904166666667,"1","0","4","3","3","3","3"
"45","45",28,"0","Travel_Rarely","Research & Development",9,"3","Medical","Male","1","Sales Representative","Single",46480,1,23,"2",9,2,8,0,7,5,7.20127049180328,"1","0","2","1","3","2","4"
"46","46",31,"0","Travel_Rarely","Research & Development",8,"1","Technical Degree","Male","1","Manufacturing Director","Married",29360,5,12,"1",10,2,8,7,7,9,7.173125,"1","0","2","4","2","3","3"
"47","47",39,"0","Travel_Rarely","Sales",5,"4","Marketing","Female","2","Human Resources","Divorced",21050,1,20,"0",19,3,18,3,7,14,7.63642553191489,"0","0","3","4","2","3","4"
"48","48",36,"0","Non-Travel","Research & Development",5,"4","Life Sciences","Male","1","Sales Executive","Married",85780,8,21,"0",11,4,9,0,8,12,7.83278481012658,"0","0","2","2","3","3","4"
"49","49",32,"0","Travel_Rarely","Sales",2,"3","Marketing","Male","2","Laboratory Technician","Married",27060,2,21,"1",13,4,13,4,8,22,6.97458149779736,"1","0","4","3","2","3","4"
"50","50",38,"0","Travel_Rarely","Research & Development",5,"2","Life Sciences","Female","3","Research Scientist","Married",63840,4,19,"2",19,4,10,0,1,21,6.90679824561404,"1","0","1","2","3","2","3"
"51","51",58,"0","Non-Travel","Research & Development",2,"3","Life Sciences","Male","2","Manufacturing Director","Divorced",39680,3,13,"2",12,3,5,1,2,7,10.8956198347107,"0","2","4","3","3","2","3"
"52","52",31,"0","Travel_Rarely","Research & Development",20,"1","Technical Degree","Female","3","Research Scientist","Married",99070,1,13,"1",6,3,5,0,3,12,9.12548523206751,"0","2","3","4","3","2","3"
"53","53",31,"0","Travel_Rarely","Sales",7,"4","Marketing","Male","2","Sales Executive","Married",132250,4,21,"1",9,2,2,1,0,10,6.83142259414226,"1","0","1","1","3","3","4"
"54","54",45,"0","Travel_Frequently","Research & Development",3,"1","Medical","Female","1","Sales Executive","Divorced",35400,2,13,"0",24,6,24,9,11,13,7.3160593220339,"1","0","1","1","3","3","3"
"55","55",31,"0","Travel_Rarely","Sales",16,"4","Marketing","Female","2","Research Scientist","Divorced",28040,1,19,"2",3,0,2,2,2,5,8.61098360655738,"0","2","3","4","1","3","3"
"56","56",33,"0","Travel_Frequently","Research & Development",9,"3","Life Sciences","Male","4","Research Director","Married",193920,7,12,"1",12,3,10,8,8,12,6.78510548523207,"1","0","4","2","3","3","3"
"57","57",39,"0","Travel_Rarely","Sales",1,"4","Life Sciences","Male","1","Sales Executive","Married",196650,2,22,"1",21,6,21,11,10,4,10.9863673469388,"0","2","3","1","3","3","4"
"58","58",43,"0","Travel_Frequently","Research & Development",7,"4","Medical","Male","4","Research Scientist","Single",24390,1,15,"0",9,2,8,1,7,22,7.68678414096916,"0","0","3","4","3","3","3"
"59","59",49,"0","Travel_Rarely","Research & Development",1,"3","Life Sciences","Male","3","Manufacturing Director","Single",73140,8,22,"0",25,2,7,0,7,6,9.94893004115226,"0","2","3","3","3","3","4"
"60","60",52,"1","Travel_Rarely","Research & Development",7,"1","Life Sciences","Female","2","Research Scientist","Married",47740,3,18,"1",11,2,8,7,7,10,7.90543933054393,"0","0","3","2","2","3","3"
"61","61",27,"0","Travel_Rarely","Research & Development",15,"4","Medical","Male","3","Research Scientist","Single",39020,2,22,"0",4,2,4,1,2,5,10.6723360655738,"0","2","3","2","2","3","4"
"62","62",32,"0","Travel_Rarely","Research & Development",1,"3","Life Sciences","Male","3","Research Scientist","Married",26620,2,11,"1",13,6,13,11,9,10,10.4963179916318,"0","2","3","2","3","4","3"
"63","63",27,"0","Travel_Rarely","Research & Development",13,"2","Medical","Female","4","Research Director","Single",28560,2,12,"2",5,5,5,0,4,18,10.069696969697,"0","2","4","3","3","4","3"
"64","64",31,"0","Travel_Rarely","Sales",24,"3","Life Sciences","Male","2","Healthcare Representative","Divorced",10810,5,11,"3",13,4,7,1,7,6,6.60666666666667,"2","0","4","4","3","4","3"
"65","65",32,"0","Travel_Rarely","Research & Development",7,"3","Technical Degree","Male","2","Healthcare Representative","Single",24720,8,13,"0",10,2,7,0,7,12,7.49763713080169,"0","0","1","4","2","3","3"
"66","66",28,"1","Travel_Rarely","Research & Development",9,"4","Medical","Male","1","Sales Executive","Married",56730,6,14,"1",5,4,3,2,2,2,10.7272874493927,"0","2","1","4","2","2","3"
"67","67",30,"0","Travel_Rarely","Research & Development",13,"3","Life Sciences","Female","4","Research Director","Married",41970,2,13,"0",11,3,10,1,9,17,6.185,"2","0","4","4","3","3","3"
"68","68",31,"0","Travel_Frequently","Research & Development",2,"1","Life Sciences","Female","1","Manager","Married",97130,2,17,"0",10,5,10,8,9,22,6.60925110132159,"2","0","3","3","3","2","3"
"69","69",39,"0","Travel_Frequently","Research & Development",19,"4","Medical","Female","1","Research Scientist","Married",20620,2,13,"0",21,4,21,13,3,21,6.07627192982456,"2","0","3","4","3","3","3"
"70","70",39,"1","Travel_Rarely","Research & Development",1,"1","Medical","Female","1","Laboratory Technician","Married",42840,5,17,"1",12,0,1,0,0,3,9.97178861788618,"0","2","4","3","2","3","3"
"71","71",33,"0","Travel_Frequently","Sales",4,"2","Life Sciences","Male","4","Research Scientist","Single",47880,4,11,"1",9,0,7,0,1,7,7.42111570247934,"1","0","2","4","2","3","3"
"72","72",47,"0","Travel_Rarely","Research & Development",4,"3","Life Sciences","Female","2","Healthcare Representative","Married",59060,5,23,"0",21,4,3,1,1,6,6.49395061728395,"2","0","4","3","3","4","4"
"73","73",43,"0","Travel_Frequently","Research & Development",14,"3","Medical","Female","5","Research Director","Divorced",38860,2,17,"2",9,2,9,0,0,14,6.29957446808511,"2","0","3","3","4","3","3"
"74","74",27,"0","Non-Travel","Research & Development",2,"3","Life Sciences","Male","1","Research Director","Married",168230,1,17,"0",6,3,5,1,4,18,9.31688311688312,"0","2","3","2","3","3","3"
"75","75",54,"0","Travel_Frequently","Research & Development",1,"4","Life Sciences","Male","2","Research Scientist","Single",29330,4,12,"2",20,2,4,0,3,17,6.0975,"2","0","4","3","2","3","3"
"76","76",43,"0","Travel_Rarely","Research & Development",7,"2","Life Sciences","Female","2","Manager","Married",65000,9,23,"0",10,3,1,0,0,11,7.21697478991597,"1","0","3","1","2","3","4"
"77","77",45,"0","Travel_Rarely","Sales",3,"1","Marketing","Female","1","Sales Executive","Married",171740,10,14,"1",12,6,10,9,8,7,7.10020661157025,"1","0","4","4","3","3","3"
"78","78",40,"0","Travel_Rarely","Research & Development",2,"4","Other","Male","4","Research Scientist","Married",50330,3,14,"2",6,6,4,0,2,18,9.91411255411255,"0","2","2","4","2","3","3"
"79","79",29,"1","Travel_Rarely","Research & Development",29,"3","Medical","Female","1","Research Scientist","Married",23070,2,13,"1",7,0,7,0,7,19,10.4778695652174,"0","2","2","1","2","3","3"
"80","80",29,"0","Travel_Rarely","Human Resources",8,"3","Medical","Male","3","Sales Representative","Single",25870,1,22,"2",4,3,3,2,2,10,6.90707112970711,"1","0","2","4","3","3","4"
"81","81",30,"0","Travel_Rarely","Research & Development",10,"3","Life Sciences","Male","2","Research Scientist","Divorced",55070,2,12,"2",10,2,10,1,2,17,7.58909482758621,"0","0","4","3","3","2","3"
"82","82",27,"0","Travel_Rarely","Research & Development",11,"2","Medical","Male","1","Manager","Married",43930,2,18,"1",8,2,8,0,7,5,6.07967213114754,"2","0","2","2","3","2","3"
"83","83",37,"0","Travel_Rarely","Sales",1,"4","Life Sciences","Male","2","Healthcare Representative","Divorced",133480,8,14,"0",8,4,6,0,4,13,6.00135593220339,"2","0","4","4","2","3","3"
"84","84",38,"0","Travel_Rarely","Research & Development",28,"4","Medical","Male","1","Laboratory Technician","Divorced",65830,1,12,"0",12,1,11,2,9,7,8.98309917355372,"0","2","3","4","3","3","3"
"86","86",29,"0","Travel_Rarely","Research & Development",3,"4","Life Sciences","Male","3","Sales Executive","Divorced",39780,2,11,"0",7,0,7,1,7,5,8.3877868852459,"0","0","4","2","3","3","3"
"87","87",35,"0","Travel_Rarely","Sales",16,"2","Technical Degree","Male","3","Manager","Single",25440,1,13,"1",17,3,16,0,13,16,7.91188841201717,"0","0","3","2","3","4","3"
"88","88",23,"0","Travel_Rarely","Research & Development",20,"4","Life Sciences","Male","1","Manufacturing Director","Divorced",53990,2,23,"0",4,2,4,0,2,12,7.10552742616034,"1","0","3","4","2","2","4"
"89","89",41,"0","Travel_Rarely","Research & Development",9,"2","Life Sciences","Female","1","Laboratory Technician","Single",54870,7,19,"2",8,0,5,1,2,10,9.68882845188284,"0","2","4","2","3","3","3"
"90","90",47,"0","Travel_Frequently","Sales",1,"3","Medical","Female","2","Laboratory Technician","Single",68340,4,16,"1",5,2,0,0,0,10,7.77054393305439,"0","0","2","3","3","4","3"
"91","91",42,"0","Travel_Rarely","Research & Development",3,"4","Life Sciences","Male","1","Manager","Single",10910,3,22,"0",16,0,1,0,0,12,6.28464135021097,"2","0","1","4","3","1","4"
"92","92",29,"0","Non-Travel","Sales",22,"4","Marketing","Male","2","Human Resources","Married",57360,2,22,"0",4,1,4,0,2,16,6.30605150214592,"2","0","4","3","2","2","4"
"93","93",42,"0","Travel_Rarely","Sales",7,"4","Medical","Male","3","Research Scientist","Divorced",22260,1,12,"1",4,3,3,1,0,21,8.83131578947368,"0","2","3","3","3","2","3"
"94","94",32,"0","Travel_Rarely","Research & Development",2,"3","Medical","Male","2","Research Scientist","Married",57470,2,13,"0",8,0,8,0,7,18,7.7221645021645,"0","0","3","2","3","3","3"
"95","95",48,"0","Travel_Rarely","Sales",13,"4","Medical","Male","4","Sales Executive","Married",98540,4,16,"1",15,2,0,0,0,16,7.31755364806867,"1","0","1","3","1","2","3"
"96","96",37,"0","Travel_Rarely","Research & Development",8,"5","Technical Degree","Male","2","Manufacturing Director","Divorced",54670,5,12,"0",13,2,7,6,7,2,10.7982591093117,"0","2","3","1","3","3","3"
"97","97",30,"0","Non-Travel","Sales",25,"4","Other","Male","1","Healthcare Representative","Married",53800,8,21,"1",4,0,2,2,2,4,10.4017551020408,"0","2","4","3","4","3","4"
"98","98",26,"0","Travel_Rarely","Sales",28,"3","Medical","Female","5","Laboratory Technician","Married",51510,2,15,"3",8,3,8,7,7,6,5.99448559670782,"2","0","3","3","3","3","3"
"99","99",42,"0","Travel_Rarely","Sales",2,"2","Medical","Female","1","Laboratory Technician","Single",21330,4,13,"2",14,2,1,0,0,10,6.1134309623431,"2","0","1","4","3","3","3"
"100","100",21,"1","Travel_Frequently","Research & Development",9,"3","Medical","Female","4","Manufacturing Director","Single",178750,2,12,"0",3,5,3,1,2,5,8.13356557377049,"0","0","1","2","3","2","3"
"101","101",36,"0","Non-Travel","Human Resources",28,"3","Human Resources","Male","2","Laboratory Technician","Single",24320,5,22,"0",7,4,1,0,0,17,7.30603448275862,"1","0","4","4","3","1","4"
"102","102",36,"0","Travel_Frequently","Research & Development",6,"3","Life Sciences","Female","2","Research Scientist","Married",47710,5,13,"1",16,2,13,1,12,11,7.10504201680672,"1","0","1","4","3","3","3"
"103","103",57,"0","Travel_Rarely","Research & Development",21,"4","Life Sciences","Male","5","Research Scientist","Married",191610,3,18,"0",15,2,3,1,2,14,6.32765957446809,"2","0","4","3","3","1","3"
"104","104",40,"0","Travel_Rarely","Research & Development",8,"3","Other","Male","2","Sales Executive","Married",50870,4,14,"1",10,3,7,1,7,16,8.12832618025751,"0","0","4","3","3","3","3"
"105","105",21,"0","Non-Travel","Research & Development",1,"5","Life Sciences","Female","2","Manager","Single",28630,2,14,"0",3,2,3,2,2,20,7.98646288209607,"0","0","1","4","2","1","3"
"106","106",33,"1","Travel_Rarely","Human Resources",28,"2","Human Resources","Female","5","Manager","Single",55610,2,21,"1",1,3,1,0,0,18,10.5090476190476,"0","2","4","3","3","1","4"
"107","107",37,"0","Travel_Rarely","Research & Development",5,"3","Life Sciences","Male","4","Research Scientist","Married",21440,7,19,"0",17,3,5,0,3,18,7.99320346320346,"0","0","3","1","3","4","3"
"108","108",46,"0","Non-Travel","Sales",2,"4","Marketing","Female","2","Laboratory Technician","Married",30650,3,11,"0",7,3,1,0,0,21,6.10342105263158,"2","0","3","3","4","3","3"
"109","109",41,"1","Travel_Frequently","Research & Development",16,"1","Medical","Female","1","Research Scientist","Single",28100,2,11,"0",8,3,8,7,7,16,7.58793991416309,"0","0","1","2","3","4","3"
"110","110",50,"0","Travel_Rarely","Research & Development",9,"3","Medical","Female","3","Laboratory Technician","Single",98880,7,15,"0",20,2,4,1,3,19,6.89034782608696,"1","0","4","4","3","3","3"
"111","111",40,"1","Travel_Rarely","Research & Development",8,"3","Medical","Female","1","Healthcare Representative","Married",86280,3,20,"0",8,2,6,1,0,15,9.29606837606838,"0","2","3","3","3","2","4"
"113","113",21,"1","Travel_Rarely","Human Resources",10,"2","Human Resources","Male","1","Laboratory Technician","Single",53730,2,12,"1",1,2,1,0,0,19,5.99513043478261,"2","0","3","2","3","3","3"
"114","114",29,"0","Travel_Rarely","Research & Development",1,"3","Life Sciences","Female","2","Research Director","Single",66670,10,12,"1",6,6,3,1,2,4,7.7885306122449,"0","0","4","4","3","4","3"
"115","115",35,"0","Travel_Rarely","Research & Development",29,"3","Life Sciences","Female","3","Sales Executive","Single",50030,10,15,"0",10,2,1,0,0,13,7.71775423728814,"0","0","3","2","3","3","3"
"117","117",28,"0","Travel_Rarely","Research & Development",2,"2","Medical","Male","3","Manager","Single",28580,2,12,"0",7,2,7,0,7,17,7.12090517241379,"1","0","2","4","3","2","3"
"118","118",49,"0","Travel_Rarely","Sales",2,"3","Technical Degree","Male","2","Manufacturing Director","Single",52040,9,14,"1",26,3,5,0,0,9,7.82504166666667,"0","0","2","3","3","3","3"
"119","119",51,"0","Travel_Rarely","Research & Development",1,"2","Life Sciences","Male","1","Sales Executive","Married",41050,5,22,"1",18,2,7,0,7,21,7.61929824561404,"0","0","3","4","2","3","4"
"120","120",36,"0","Travel_Rarely","Sales",15,"2","Life Sciences","Male","1","Sales Executive","Married",96790,5,12,"0",6,1,2,2,2,15,6.00230769230769,"2","0","4","3","3","3","3"
"121","121",34,"1","Non-Travel","Research & Development",7,"3","Life Sciences","Male","1","Sales Representative","Single",56170,9,25,"1",9,3,5,0,4,14,9.11306382978723,"0","2","1","4","2","3","4"
"122","122",55,"0","Travel_Rarely","Sales",26,"3","Marketing","Male","1","Laboratory Technician","Single",104480,3,13,"0",30,3,5,1,2,13,8.68419491525424,"0","2","3","4","3","3","3"
"123","123",24,"0","Travel_Rarely","Research & Development",1,"3","Life Sciences","Female","5","Manager","Divorced",28970,2,18,"3",5,4,5,0,3,19,9.99278260869565,"0","2","4","3","4","3","3"
"124","124",30,"0","Travel_Rarely","Research & Development",3,"3","Life Sciences","Female","2","Manager","Married",59680,2,13,"0",1,3,1,0,0,18,6.90021645021645,"1","0","3","2","3","3","3"
"126","126",22,"0","Travel_Rarely","Research & Development",16,"5","Other","Male","1","Research Scientist","Married",29910,2,19,"2",2,3,2,1,2,18,6.28623376623377,"2","0","1","2","3","2","3"
"127","127",36,"0","Travel_Rarely","Research & Development",1,"3","Medical","Female","5","Healthcare Representative","Married",196360,2,12,"1",10,3,10,9,0,13,6.36622881355932,"2","0","2","3","3","3","3"
"128","128",30,"1","Travel_Frequently","Sales",3,"2","Marketing","Male","3","Research Scientist","Single",11290,10,19,"0",3,2,1,0,0,9,8.19175,"0","0","3","4","3","2","3"
"129","129",37,"0","Travel_Rarely","Research & Development",10,"1","Technical Degree","Male","1","Sales Executive","Divorced",133410,2,14,"1",18,3,18,12,17,9,6.45208333333333,"2","0","4","1","2","3","3"
"130","130",40,"0","Travel_Rarely","Research & Development",6,"2","Medical","Male","3","Research Scientist","Divorced",43320,8,14,"2",8,3,5,1,3,19,6.68295652173913,"1","0","4","2","3","2","3"
"131","131",42,"0","Travel_Rarely","Research & Development",2,"3","Medical","Female","4","Manager","Divorced",110310,4,12,"1",8,2,5,1,2,14,7.48272340425532,"0","0","2","1","3","2","3"
"132","132",37,"0","Travel_Rarely","Sales",9,"1","Marketing","Male","3","Sales Executive","Single",44400,3,11,"1",18,3,1,0,1,4,9.91995918367347,"0","2","3","2","2","2","3"
"133","133",43,"0","Travel_Rarely","Sales",10,"2","Life Sciences","Female","1","Sales Executive","Divorced",46170,2,11,"0",25,2,25,3,9,14,7.41553191489362,"0","0","1","2","3","3","3"
"134","134",40,"0","Travel_Rarely","Sales",6,"2","Life Sciences","Female","1","Laboratory Technician","Married",26470,7,13,"0",20,2,1,0,0,11,7.49525210084034,"0","0","2","3","3","2","3"
"135","135",54,"0","Travel_Rarely","Human Resources",9,"3","Life Sciences","Female","2","Manufacturing Director","Married",63230,5,23,"1",24,2,4,1,2,22,5.99876651982379,"2","0","1","1","2","2","4"
"136","136",34,"0","Non-Travel","Research & Development",28,"3","Medical","Male","1","Laboratory Technician","Married",56770,10,20,"1",6,3,3,1,2,15,6.85982905982906,"1","0","3","3","3","3","4"
"137","137",31,"0","Travel_Rarely","Research & Development",10,"4","Life Sciences","Male","3","Sales Executive","Married",21870,2,15,"1",13,2,13,3,12,17,6.13176724137931,"2","0","2","1","1","2","3"
"138","138",43,"0","Travel_Frequently","Sales",14,"3","Life Sciences","Female","1","Manufacturing Director","Married",37480,8,14,"2",3,3,3,1,2,22,7.6747577092511,"0","0","4","4","3","2","3"
"139","139",43,"0","Travel_Rarely","Sales",27,"4","Life Sciences","Male","2","Sales Representative","Divorced",39770,5,18,"1",8,3,5,0,2,11,8.87894957983193,"0","2","3","3","3","3","3"
"140","140",25,"0","Travel_Rarely","Human Resources",7,"2","Human Resources","Male","1","Manufacturing Director","Single",86330,2,19,"1",5,2,5,1,3,17,10.8956465517241,"0","2","2","4","3","4","3"
"141","141",37,"0","Non-Travel","Research & Development",1,"3","Medical","Male","3","Laboratory Technician","Married",20080,4,22,"0",15,5,13,10,7,16,10.6918454935622,"0","2","2","3","3","2","4"
"142","142",31,"0","Travel_Rarely","Research & Development",24,"1","Medical","Male","3","Laboratory Technician","Married",44400,2,13,"1",4,2,4,3,2,17,7.05991379310345,"1","0","4","1","3","3","3"
"143","143",39,"0","Travel_Frequently","Research & Development",26,"4","Technical Degree","Female","1","Sales Executive","Divorced",30670,2,20,"1",21,5,21,1,6,4,9.00902040816326,"0","2","2","3","3","1","4"
"144","144",56,"0","Travel_Frequently","Research & Development",20,"4","Life Sciences","Female","3","Sales Executive","Married",53210,10,14,"0",36,1,7,7,7,10,7.42041841004184,"0","0","3","1","2","3","3"
"145","145",30,"0","Travel_Rarely","Sales",5,"4","Medical","Female","2","Manufacturing Director","Single",54100,1,17,"1",6,2,5,4,4,4,7.58587755102041,"0","0","2","3","3","3","3"
"146","146",41,"0","Travel_Rarely","Research & Development",7,"3","Technical Degree","Female","3","Research Scientist","Married",27820,2,14,"0",10,2,10,0,7,8,6.6243153526971,"2","0","2","1","3","2","3"
